Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Area Harvested,World,"56,945","56,914","59,168","64,117","62,901","60,864","60,944","61,307","63,936","66,674","65,630","67,421","72,893","75,905","76,794","79,103","81,651","82,991","80,944","84,007","78,624","81,643","78,733","79,816","79,188","79,948","79,597","78,713","76,299","73,678","72,399","75,870","72,590","73,186","72,154","66,383","64,236","63,800","56,676","52,102","53,077","55,634","54,604","58,336","57,356","55,164","56,278","55,700","55,083","54,159","46,946","49,085","50,233","50,627","50,571","50,702","49,475","47,929","49,234","52,488","52,004","49,815","47,303","46,508",(1000 HA)
Corn,Area Harvested,World,"102,179","102,839","101,992","107,361","105,985","104,471","109,662","110,345","108,776","109,941","112,523","116,226","111,871","118,151","118,735","121,969","124,270","125,772","126,046","127,255","131,189","133,045","125,240","119,678","128,873","130,821","131,738","126,710","126,035","127,232","128,940","132,419","133,065","130,678","135,151","135,001","141,444","136,217","138,905","138,789","136,995","136,945","137,590","141,418","145,215","144,901","149,360","160,729","159,208","158,720","166,434","175,838","183,703","188,043","188,822","188,284","196,846","193,190","192,628","194,350","198,946","207,287","200,996","204,742",(1000 HA)
Millet,Area Harvested,World,"42,494","42,960","43,851","43,407","43,198","43,567","42,967","45,027","43,329","45,228","44,928","43,087","41,261","45,222","42,794","43,549","42,835","43,316","43,415","42,215","42,985","42,758","41,743","42,458","38,369","39,451","39,563","35,682","40,188","38,189","36,280","36,908","39,313","37,737","39,681","38,229","38,224","38,775","38,390","37,639","36,825","34,482","32,558","36,855","33,529","34,882","35,410","35,407","35,089","33,461","35,118","33,495","29,079","30,562","30,823","28,728","31,356","30,906","31,163","30,649","31,999","29,882","31,079","30,692",(1000 HA)
Mixed Grain,Area Harvested,World,"2,668","2,118","2,703","3,892","2,626","2,481","2,533","2,425","2,344","2,409","2,508","2,423","2,454","2,370","2,246","2,279","2,106","2,065","1,798","1,872","1,786","1,895","1,950","1,833","1,790","1,790","1,904","2,159","2,389","2,636","2,594","2,864","2,825","2,889","2,877","3,023","3,132","3,358","3,445","3,290","3,657","3,770","3,827","3,977","4,493","4,454","4,488","4,412","4,591","4,620","4,288","4,214","4,094","4,069","4,117","4,227","4,140","4,011","3,993","4,114","3,850","3,808","3,407","3,495",(1000 HA)
Oats,Area Harvested,World,"41,704","38,487","33,640","31,148","29,243","29,209","29,514","29,781","30,674","30,478","30,572","29,221","29,277","29,944","28,210","29,143","27,358","29,060","27,389","26,211","24,970","26,419","25,851","26,082","25,209","24,932","24,540","23,146","21,729","22,089","19,908","19,351","18,587","18,094","18,182","16,748","15,978","15,238","13,473","12,762","12,651","13,132","12,356","12,057","11,566","11,261","11,645","11,868","11,199","10,081","9,073","9,524","9,481","9,670","9,541","9,532","9,799","9,754","9,837","9,549","10,066","9,627","9,443","8,940",(1000 HA)
"Rice, Milled",Area Harvested,World,"120,140","115,817","119,719","121,151","125,403","123,967","125,679","126,990","128,593","131,419","132,658","134,831","132,518","136,290","137,796","142,737","141,029","142,909","143,218","141,319","144,402","144,383","140,514","144,648","144,050","144,676","144,778","141,434","146,576","147,816","146,963","147,543","146,414","145,280","147,289","148,297","150,165","151,725","153,303","155,850","152,694","151,644","147,631","149,519","151,427","154,238","154,544","154,926","158,600","155,945","158,498","160,066","160,319","163,415","163,176","161,187","164,075","163,683","163,076","161,461","164,886","165,387","165,250","166,124",(1000 HA)
Rye,Area Harvested,World,"29,100","28,902","28,435","26,257","28,237","26,993","23,980","22,577","22,270","19,012","18,680","18,679","16,957","15,300","17,454","14,924","16,171","13,924","14,951","13,294","15,483","14,304","16,640","17,397","16,604","15,982","14,637","15,505","15,270","16,214","15,711","13,112","14,045","12,672","10,377","9,821","10,368","10,216","9,605","8,953","9,144","9,315","8,687","6,515","6,702","6,490","5,498","6,067","6,466","6,376","4,850","4,866","5,021","5,452","4,964","4,132","4,138","4,016","3,739","4,037","4,166","4,034","3,663","3,704",(1000 HA)
Sorghum,Area Harvested,World,"40,481","42,605","44,064","43,990","42,886","45,308","45,179","47,000","45,876","48,232","47,853","46,821","42,265","47,435","45,959","47,862","47,068","46,022","45,890","45,903","45,304","48,470","47,966","46,214","44,742","47,524","45,136","42,147","42,035","41,701","38,660","39,904","43,204","39,602","42,292","41,234","45,226","41,136","40,626","39,843","41,399","43,819","40,897","43,826","39,946","45,473","42,670","44,179","44,346","40,249","40,978","41,313","38,858","42,591","43,924","40,407","43,069","40,224","40,996","39,588","43,020","40,752","40,279","41,743",(1000 HA)
Wheat,Area Harvested,World,"202,200","203,458","206,878","206,307","215,940","215,248","213,840","219,201","223,894","217,824","206,979","212,736","210,900","217,030","220,026","225,338","233,072","227,156","228,902","227,830","236,901","238,911","238,353","229,918","231,643","229,788","227,848","220,038","217,842","226,298","230,990","222,783","222,190","221,030","213,327","216,712","227,070","226,370","219,174","212,633","215,187","214,180","213,455","207,930","215,776","217,541","212,360","216,900","224,226","225,805","217,094","221,238","216,154","220,035","221,460","223,702","222,400","218,017","214,857","215,374","220,433","221,909","220,937","221,432",(1000 HA)
