Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Ending Stocks,World,40328040000000.0,35298240000000.0,42044480000000.0,47715040000000.0,67233320000000.0,48624720000000.0,53193040000000.0,60055480000000.0,71984240000000.0,73597760000000.0,60055480000000.0,67183520000000.0,64813040000000.0,63793800000000.0,67837560000000.0,60414040000000.0,72166840000000.0,65925240000000.0,80639480000000.0,62817720000000.0,60885480000000.0,53322520000000.0,71277080000000.0,51519760000000.0,76828120000000.0,98192320000000.0,112302320000000.0,111469000000000.0,105323680000000.0,91392960000000.0,104619840000000.0,115901200000000.0,116339440000000.0,115921120000000.0,99636520000000.0,68076600000000.0,80171360000000.0,106894040000000.0,96140560000000.0,79268320000000.0,74729880000000.0,96661800000000.0,91329880000000.0,77747760000000.0,109709400000000.0,93620680000000.0,71034720000000.0,67850840000000.0,106502280000000.0,122501360000000.0,79271640000000.0,72963640000000.0,70314280000000.0,81459520000000.0,78903120000000.0,85370480000000.0,78863280000000.0,71280400000000.0,66924560000000.0,72681440000000.0,69105800000000.0,60736080000000.0,62339640000000.0,58534920000000.0,(kcal)
Corn,Ending Stocks,World,214408120000000.0,200153880000000.0,172339600000000.0,188477080000000.0,153485840000000.0,119900800000000.0,139025120000000.0,167579880000000.0,155564880000000.0,146216320000000.0,128686880000000.0,174518320000000.0,135336960000000.0,137843200000000.0,162652840000000.0,186882200000000.0,243279720000000.0,275212920000000.0,325312800000000.0,395711800000000.0,365045960000000.0,452682480000000.0,533159840000000.0,316775920000000.0,420624680000000.0,632533680000000.0,729312280000000.0,703719440000000.0,517097120000000.0,473002960000000.0,503391120000000.0,502155800000000.0,579354400000000.0,460820640000000.0,545918880000000.0,474498160000000.0,592095640000000.0,595239120000000.0,681252280000000.0,692088920000000.0,623480600000000.0,538902120000000.0,451860120000000.0,372842360000000.0,466723120000000.0,439296880000000.0,387032520000000.0,446687440000000.0,484494640000000.0,468488880000000.0,410290000000000.0,439008520000000.0,515317120000000.0,763840720000000.0,995689280000000.0,1110008000000000.0,1253333600000000.0,1216227720000000.0,1149046960000000.0,1094657280000000.0,1043325640000000.0,1103162120000000.0,1054817320000000.0,1118256520000000.0,(kcal)
Millet,Ending Stocks,World,1574200000000.0,4831400000000.0,4947000000000.0,4702200000000.0,3716200000000.0,2910400000000.0,3954200000000.0,5246200000000.0,5242800000000.0,15796400000000.0,12059800000000.0,11223400000000.0,9645800000000.0,11893200000000.0,10839200000000.0,13321200000000.0,13576200000000.0,12182200000000.0,12784000000000.0,9972200000000.0,9996000000000.0,10077600000000.0,9329600000000.0,11753800000000.0,9928000000000.0,7956000000000.0,7153600000000.0,3869200000000.0,3689000000000.0,2363000000000.0,2444600000000.0,2441200000000.0,5025200000000.0,1285200000000.0,697000000000.0,697000000000.0,1101600000000.0,935000000000.0,1071000000000.0,765000000000.0,690200000000.0,979200000000.0,618800000000.0,2111400000000.0,2114800000000.0,785400000000.0,945200000000.0,1533400000000.0,1098200000000.0,1020000000000.0,2771000000000.0,1951600000000.0,1506200000000.0,1720400000000.0,2026400000000.0,975800000000.0,1859800000000.0,2335800000000.0,1098200000000.0,2080800000000.0,2108000000000.0,2108000000000.0,2312000000000.0,1972000000000.0,(kcal)
Mixed Grain,Ending Stocks,World,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23800000000.0,51000000000.0,221000000000.0,214200000000.0,394400000000.0,625600000000.0,421600000000.0,204000000000.0,421600000000.0,289000000000.0,377400000000.0,166600000000.0,159800000000.0,156400000000.0,166600000000.0,159800000000.0,227800000000.0,251600000000.0,139400000000.0,204000000000.0,431800000000.0,445400000000.0,448800000000.0,452200000000.0,377400000000.0,720800000000.0,340000000000.0,1360000000000.0,1360000000000.0,1360000000000.0,1819000000000.0,2210000000000.0,2594200000000.0,5117000000000.0,3974600000000.0,3043000000000.0,6310400000000.0,5657600000000.0,2346000000000.0,3202800000000.0,4804200000000.0,7534400000000.0,6184600000000.0,4889200000000.0,3957600000000.0,3185800000000.0,4222800000000.0,3002200000000.0,1482400000000.0,1465400000000.0,1424600000000.0,2012800000000.0,1475600000000.0,1496000000000.0,1366800000000.0,1366800000000.0,(kcal)
Oats,Ending Stocks,World,32617200000000.0,30264850000000.0,35346850000000.0,38642450000000.0,31793300000000.0,34534500000000.0,30226350000000.0,29263850000000.0,41191150000000.0,47917100000000.0,49453250000000.0,50912400000000.0,37060100000000.0,29233050000000.0,24836350000000.0,23885400000000.0,23438800000000.0,32875150000000.0,32205250000000.0,24913350000000.0,20131650000000.0,19176850000000.0,24697750000000.0,21086450000000.0,22295350000000.0,20755350000000.0,17975650000000.0,17436650000000.0,16119950000000.0,20840050000000.0,23665950000000.0,18934300000000.0,17171000000000.0,22083600000000.0,21113400000000.0,12962950000000.0,14333550000000.0,20562850000000.0,17151750000000.0,14452900000000.0,15022700000000.0,15442350000000.0,13055350000000.0,12762750000000.0,13644400000000.0,12181400000000.0,10987900000000.0,12955250000000.0,18291350000000.0,16943850000000.0,12185250000000.0,12951400000000.0,9605750000000.0,11638550000000.0,11588500000000.0,12485550000000.0,12843600000000.0,11623150000000.0,8416100000000.0,8581650000000.0,11623150000000.0,8912750000000.0,11157300000000.0,8219750000000.0,(kcal)
"Rice, Milled",Ending Stocks,World,37785600000000.0,30715200000000.0,45133200000000.0,58536000000000.0,61891200000000.0,65116800000000.0,66848400000000.0,76600800000000.0,88394400000000.0,95137200000000.0,103777200000000.0,103356000000000.0,86943600000000.0,105526800000000.0,103536000000000.0,141804000000000.0,139824000000000.0,161229600000000.0,197449200000000.0,194486400000000.0,189320400000000.0,181821600000000.0,204386400000000.0,249519600000000.0,315572400000000.0,351727200000000.0,371898000000000.0,378936000000000.0,401925600000000.0,434174400000000.0,455907600000000.0,456037200000000.0,443358000000000.0,428133600000000.0,423219600000000.0,425019600000000.0,432918000000000.0,459784800000000.0,482587200000000.0,515174400000000.0,528026400000000.0,478850400000000.0,371412000000000.0,295588800000000.0,269182800000000.0,278438400000000.0,274539600000000.0,296078400000000.0,342392400000000.0,351180000000000.0,370497600000000.0,406346400000000.0,446817600000000.0,464349600000000.0,491518800000000.0,516783600000000.0,543211200000000.0,589536000000000.0,636278400000000.0,653907600000000.0,674373600000000.0,656766000000000.0,624808800000000.0,613494000000000.0,(kcal)
Rye,Ending Stocks,World,20942350000000.0,18326550000000.0,21561210000000.0,15535300000000.0,16683700000000.0,24537480000000.0,19529180000000.0,16249860000000.0,20409620000000.0,17037790000000.0,15270530000000.0,14233780000000.0,12109240000000.0,9359460000000.0,12626020000000.0,8405650000000.0,10619510000000.0,5646300000000.0,8810780000000.0,7033950000000.0,6201360000000.0,5391100000000.0,13905210000000.0,18214900000000.0,25679500000000.0,25650790000000.0,28882260000000.0,21465510000000.0,18074540000000.0,20974250000000.0,30525110000000.0,27634970000000.0,25657170000000.0,24984080000000.0,16202010000000.0,9761400000000.0,10255850000000.0,21382570000000.0,20888120000000.0,18160670000000.0,18074540000000.0,25602940000000.0,27395720000000.0,14402850000000.0,13222550000000.0,8973470000000.0,3863090000000.0,5126330000000.0,7758080000000.0,8954330000000.0,5416620000000.0,3812050000000.0,4462810000000.0,6127990000000.0,6380000000000.0,5180560000000.0,4686110000000.0,3671690000000.0,2599850000000.0,2772110000000.0,3837570000000.0,3368640000000.0,2437160000000.0,2402070000000.0,(kcal)
Sorghum,Ending Stocks,World,75086130000000.0,74482450000000.0,78694490000000.0,77017220000000.0,69135080000000.0,49649250000000.0,44840390000000.0,51360820000000.0,47265400000000.0,41581890000000.0,27597780000000.0,31772090000000.0,24987550000000.0,26260080000000.0,30791110000000.0,31933300000000.0,34804210000000.0,44054920000000.0,43423800000000.0,39486160000000.0,39688530000000.0,53326210000000.0,59692290000000.0,47845070000000.0,47117910000000.0,65454690000000.0,80001320000000.0,68624010000000.0,54787390000000.0,35082040000000.0,26246360000000.0,20130670000000.0,32622730000000.0,14371700000000.0,14649530000000.0,9912700000000.0,18312770000000.0,17304350000000.0,21825090000000.0,17932040000000.0,13198640000000.0,16621780000000.0,15448720000000.0,19228580000000.0,16697240000000.0,17650780000000.0,13298110000000.0,21259140000000.0,21091070000000.0,15507030000000.0,18837560000000.0,14234500000000.0,14519190000000.0,19276600000000.0,19506410000000.0,17458700000000.0,18751810000000.0,16011240000000.0,18779250000000.0,13167770000000.0,13682270000000.0,15297800000000.0,12365150000000.0,14076720000000.0,(kcal)
Wheat,Ending Stocks,World,276715660000000.0,233299000000000.0,253325640000000.0,234892180000000.0,262119860000000.0,202851560000000.0,292657480000000.0,326197760000000.0,405178740000000.0,345833620000000.0,268966860000000.0,298074960000000.0,250259520000000.0,276107780000000.0,271719020000000.0,289641460000000.0,425355680000000.0,364751380000000.0,450392320000000.0,402313020000000.0,376224280000000.0,376190880000000.0,434637540000000.0,486905200000000.0,562472700000000.0,595972900000000.0,637545880000000.0,530355260000000.0,450065000000000.0,456190560000000.0,570752560000000.0,538688560000000.0,590281540000000.0,610094420000000.0,547496140000000.0,520325240000000.0,549059260000000.0,661036100000000.0,699041960000000.0,698300480000000.0,688447480000000.0,679850320000000.0,567118640000000.0,457533240000000.0,526333900000000.0,515362000000000.0,448635480000000.0,431431140000000.0,570234860000000.0,684152240000000.0,671216420000000.0,672529040000000.0,607255420000000.0,674693360000000.0,756426500000000.0,830851720000000.0,895981720000000.0,961218600000000.0,949321520000000.0,994989340000000.0,948817180000000.0,910494020000000.0,899492060000000.0,890206860000000.0,(kcal)
Allgrain,Ending Stocks,World,699457300000000.0,627371570000000.0,653392470000000.0,665517470000000.0,666058500000000.0,548125510000000.0,650274160000000.0,732554650000000.0,835255030000000.0,783169080000000.0,666088780000000.0,751488670000000.0,621550210000000.0,660642970000000.0,685259700000000.0,756491250000000.0,963486560000000.0,962166710000000.0,1151395030000000.0,1136901200000000.0,1067653460000000.0,1152145640000000.0,1351252310000000.0,1203780500000000.0,1480746460000000.0,1798494530000000.0,1985210710000000.0,1836079070000000.0,1567514080000000.0,1534465620000000.0,1718001940000000.0,1682376100000000.0,1810186880000000.0,1678415160000000.0,1669273080000000.0,1522613650000000.0,1699608030000000.0,1884498830000000.0,2021776960000000.0,2038352730000000.0,1964264640000000.0,1858027910000000.0,1542213830000000.0,1255260740000000.0,1423938610000000.0,1371966610000000.0,1212682620000000.0,1286124740000000.0,1556667080000000.0,1676282090000000.0,1576670690000000.0,1628686350000000.0,1673755970000000.0,2026292540000000.0,2366261810000000.0,2582116610000000.0,2811013520000000.0,2873370000000000.0,2833889440000000.0,2844850790000000.0,2768348810000000.0,2762341410000000.0,2671096230000000.0,2708529640000000.0,(kcal)
