Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,Unit Description
Barley,Domestic Consumption,World,52720.0,48858.0,55702.0,54847.0,56491.0,62163.0,64293.0,62921.0,70066.0,72877.0,80466.0,82367.0,85161.0,96150.0,97231.0,86986.0,109636.0,102716.0,110902.0,102179.0,98301.0,96653.0,98987.0,106914.0,104913.0,112039.0,118876.0,118472.0,111801.0,116113.0,123067.0,114994.0,121277.0,125204.0,121998.0,107263.0,104438.0,101498.0,96384.0,78951.0,77967.0,81204.0,81016.0,87873.0,88845.0,86609.0,87777.0,79820.0,85272.0,89437.0,77159.0,84100.0,79213.0,88068.0,92369.0,93925.0,100290.0,99455.0,93105.0,107794.0,113658.0,100036.0,102496.0,101099.0,100660.0,102302.0,(1000 MT)
Corn,Domestic Consumption,World,170733.0,185111.0,188785.0,182859.0,193234.0,200280.0,209402.0,217461.0,222480.0,234298.0,231381.0,251663.0,266854.0,279172.0,246411.0,281394.0,287857.0,303811.0,324237.0,354341.0,358869.0,369534.0,375177.0,360037.0,384896.0,375420.0,404678.0,414322.0,410057.0,433921.0,436697.0,455372.0,480240.0,475393.0,506059.0,497910.0,523233.0,534285.0,543003.0,541022.0,552239.0,562293.0,568376.0,591268.0,623546.0,643291.0,662307.0,715104.0,730569.0,770254.0,802618.0,816355.0,814830.0,880128.0,901572.0,933524.0,995572.0,1023955.0,1046924.0,1056503.0,1076024.0,1100618.0,1092801.0,1147516.0,1174949.0,1209618.0,(1000 MT)
Millet,Domestic Consumption,World,23062.0,23122.0,23879.0,23806.0,27307.0,23657.0,24859.0,28282.0,25312.0,25891.0,33112.0,29158.0,24953.0,32248.0,29087.0,27794.0,28188.0,27727.0,29870.0,27237.0,27521.0,28587.0,28232.0,31046.0,28740.0,28400.0,26749.0,26802.0,31732.0,30512.0,29236.0,26077.0,30635.0,28567.0,29468.0,27744.0,29635.0,28145.0,30521.0,28705.0,27370.0,28262.0,23659.0,33808.0,29001.0,30786.0,31088.0,32898.0,33963.0,25650.0,31282.0,27163.0,26392.0,25703.0,27543.0,26668.0,29037.0,28190.0,30015.0,30139.0,32801.0,27704.0,32067.0,29662.0,28783.0,29685.0,(1000 MT)
Mixed Grain,Domestic Consumption,World,2059.0,797.0,2264.0,2340.0,2220.0,2432.0,2515.0,2423.0,2538.0,2721.0,3044.0,3402.0,3472.0,3561.0,3516.0,3559.0,3435.0,3557.0,3724.0,3791.0,3685.0,4034.0,4209.0,3761.0,4080.0,4187.0,4491.0,5361.0,5865.0,6750.0,7139.0,6946.0,5118.0,5909.0,5596.0,6461.0,6448.0,6784.0,7167.0,788.0,733.0,693.0,620.0,660.0,647.0,464.0,471.0,408.0,356.0,349.0,396.0,360.0,294.0,269.0,275.0,266.0,424.0,387.0,509.0,506.0,501.0,599.0,558.0,500.0,506.0,582.0,(1000 MT)
Oats,Domestic Consumption,World,38905.0,33886.0,32410.0,29937.0,30295.0,30057.0,33468.0,33029.0,33279.0,35474.0,37715.0,38785.0,37046.0,38022.0,33944.0,31124.0,34626.0,34893.0,35628.0,31976.0,30688.0,28940.0,32500.0,34469.0,34649.0,35675.0,35483.0,32001.0,27315.0,30139.0,30663.0,27354.0,28607.0,27969.0,27127.0,25095.0,23819.0,23208.0,20811.0,16632.0,17230.0,18998.0,17132.0,17205.0,16283.0,15833.0,15136.0,15627.0,15375.0,15071.0,12709.0,13810.0,13928.0,14436.0,14497.0,14406.0,16993.0,16769.0,15917.0,16227.0,16659.0,15807.0,16781.0,14338.0,14876.0,15983.0,(1000 MT)
"Rice, Milled",Domestic Consumption,World,154856.0,148168.0,148611.0,163703.0,177685.0,170241.0,176892.0,184400.0,189813.0,196814.0,208474.0,214474.0,211680.0,221170.0,225264.0,230911.0,233130.0,242552.0,250627.0,254686.0,268758.0,277072.0,276398.0,291182.0,296771.0,305216.0,306471.0,310472.0,321752.0,333835.0,342113.0,349131.0,353803.0,357493.0,361992.0,364815.0,373601.0,375392.0,386061.0,395113.0,391157.0,409515.0,402792.0,408234.0,403139.0,409534.0,415449.0,423794.0,432892.0,432237.0,440841.0,452063.0,459264.0,469229.0,470127.0,464396.0,475369.0,478431.0,482145.0,488821.0,495208.0,513101.0,519621.0,518133.0,523549.0,535041.0,(1000 MT)
Rye,Domestic Consumption,World,24816.0,25162.0,22306.0,22031.0,21856.0,22642.0,23126.0,22782.0,22301.0,21705.0,19746.0,23064.0,20307.0,21250.0,22883.0,17853.0,21301.0,17561.0,21692.0,15322.0,18086.0,18184.0,20514.0,24690.0,22979.0,24171.0,21893.0,26706.0,25038.0,26264.0,28964.0,24769.0,25564.0,22095.0,19777.0,18367.0,17222.0,17406.0,16232.0,9567.0,9395.0,9997.0,10321.0,8992.0,7151.0,7213.0,6260.0,6613.0,7716.0,7544.0,4408.0,5342.0,4801.0,5605.0,5786.0,4620.0,4763.0,4987.0,3963.0,4146.0,5160.0,4339.0,4473.0,4216.0,3807.0,3703.0,(1000 MT)
Sorghum,Domestic Consumption,World,36162.0,36468.0,38635.0,41974.0,41320.0,46934.0,49040.0,50022.0,50984.0,54320.0,56294.0,55808.0,52884.0,61694.0,56330.0,59149.0,58550.0,58980.0,62973.0,61724.0,56453.0,64151.0,62749.0,60907.0,65052.0,65164.0,59734.0,58834.0,58259.0,59247.0,55309.0,55097.0,60446.0,60035.0,56105.0,54881.0,66291.0,56923.0,58688.0,59142.0,56445.0,57809.0,53434.0,57304.0,58367.0,58190.0,55779.0,57727.0,62407.0,56507.0,58394.0,55203.0,55001.0,57989.0,64158.0,62172.0,60793.0,55740.0,55831.0,56390.0,59695.0,60734.0,57051.0,57652.0,62007.0,62096.0,(1000 MT)
Wheat,Domestic Consumption,World,173708.0,178535.0,181126.0,178624.0,194604.0,218700.0,216392.0,220923.0,237409.0,255114.0,265052.0,270216.0,286221.0,288787.0,287081.0,286211.0,304969.0,333589.0,338832.0,362955.0,376821.0,376186.0,380934.0,391106.0,405931.0,406006.0,433285.0,453104.0,438667.0,450802.0,473064.0,473586.0,478452.0,476167.0,469625.0,466383.0,482194.0,493076.0,489297.0,466926.0,464639.0,467672.0,476477.0,465739.0,481792.0,488163.0,492917.0,497227.0,509148.0,525772.0,531548.0,564100.0,569089.0,574737.0,577739.0,584079.0,622093.0,626066.0,624954.0,631792.0,671767.0,679362.0,672943.0,687456.0,691669.0,705189.0,(1000 MT)
Allgrain,Domestic Consumption,World,677021.0,680107.0,693718.0,700121.0,745012.0,777106.0,799987.0,822243.0,854182.0,899214.0,935284.0,968937.0,988578.0,1042054.0,1001747.0,1024981.0,1081692.0,1125386.0,1178485.0,1214211.0,1239182.0,1263341.0,1279700.0,1304112.0,1348011.0,1356278.0,1411660.0,1446074.0,1430486.0,1487583.0,1526252.0,1533326.0,1584142.0,1578832.0,1597747.0,1568919.0,1626881.0,1636717.0,1648164.0,1596846.0,1597175.0,1636443.0,1633827.0,1671083.0,1708771.0,1740083.0,1767184.0,1829218.0,1877698.0,1922821.0,1959355.0,2018496.0,2022812.0,2116164.0,2154066.0,2184056.0,2305334.0,2333980.0,2353363.0,2392318.0,2471473.0,2502300.0,2498791.0,2560572.0,2600806.0,2664199.0,(1000 MT)
