Commodity,maize,maize,maize,maize
Attribute,Beginning Stocks TY,Domestic Consumption TY,Ending Stocks TY,Production TY
Country,World,World,World,World
1961,56800,209020.9167,56373,208141.3363
1962,56373,213997,48644,208719.4963
1963,48644,215155.25,53258,220316.9536
1964,53258,219054.1667,41820,213549.5908
1965,41820,234019.75,34202,230408.3825
1966,34202,242061.25,35057,248503.081
1967,35057,253517,49277,264199.2332
1968,49277,256551.9167,45474,254596.2376
1969,45474,265725.5833,41556,264522.5215
1970,41556,269304.75,34730,265887.0304
1971,34730,293097,50311,311101.1159
1972,50311,312224.3333,38966,301884.4872
1973,38966,324110.8333,37303,331112.6215
1974,37303,296280.3333,46123,308782.5924
1975,46123,327926.75,52922,342322.5213
1976,52922,339834.25,67506,357276.1192
1977,67506,354276.5,75864,361735.2009
1978,75864,378196.6667,92549,395469.9811
1979,92549,405917.3333,109719,420814.9624
1980,109719,413180.6667,98546,415814.0718
1981,98546,418925,129641,440511.6598
1982,129641,420453.0833,153644,423912.0822
1983,153644,407031.5,88809,364426.7331
1984,88809,425702.8333,115224,464826.9465
1985,115224,415275.5,177428,472684.2929
1986,177428,436129,204789,472765.0764
1987,204789,455818.6667,196331,445903.6635
1988,196331,452498.5833,144172,410568.775
1989,144172,472852.0833,135497,462127.7527
1990,135497,473876.9167,143236,480463.2419
1991,143236,487943.75,138338,496427.5613
1992,138338,506632.1667,161518,523640.0524
1993,161518,506668.25,127145,490183.6537
1994,127145,535839,153085,553140.8166
1995,153085,534980.75,137264,526319.9228
1996,137264,550063.0833,164369,583142.3466
1997,164369,573689,168883,581303.1996
1998,168883,581506.75,192472,605596.6753
1999,192472,600528.0833,193558,611197.9087
2000,193558,608292.4167,175512,589050.7395
2001,175512,622376.3333,151533,600372.0944
2002,151533,627978.5,121865,611836.3156
2003,121865,650804.75,102883,634965.8678
2004,102883,687749.5833,133760,717049.6251
2005,133760,706224.1667,126556,699086.1349
2006,126556,728524.6667,108993,727378.1032
2007,108993,779324.8333,116942,794365.8608
2008,116942,796577.9167,137516,813211.5161
2009,137516,831730.6667,131649,835603.7573
2010,131649,866088.1667,114675,848759.9354
2011,114675,882840.4167,127985,904392.9398
2012,127985,883936.8333,139379,912060.9306
2013,139379,949298.75,207696,1030723.703
2014,207696,972360.6667,284414,1053240.062
2015,284414,1003716.333,316097,1027469.466
2016,316097,1060745.5,337127,1122584.539
2017,337127,1089594.167,348042,1079414.175
2018,348042,1124951.833,328022,1120034.509
2019,328022,1129532.667,304905,1125736.163
2020,304905,1144403.833,283504,1133461.635
