Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Domestic Consumption,World,"79,181","76,392","85,159","86,770","90,536","97,183","100,876","102,876","111,223","116,845","124,090","128,681","133,435","146,574","148,459","138,652","162,531","158,241","169,566","160,935","157,607","151,633","155,831","163,261","163,116","168,233","173,069","172,760","165,183","169,805","174,413","163,715","162,223","167,402","164,015","150,560","148,575","145,396","139,621","132,298","133,919","136,350","136,590","146,065","143,735","140,350","143,390","133,986","142,712","145,957","133,869","135,550","130,638","141,418","143,319","145,407","148,448","146,760","140,140","157,256","162,337","145,584","151,363","146,230",(1000 MT)
Corn,Domestic Consumption,World,"194,308","208,772","214,777","212,953","222,704","232,205","243,112","252,841","256,646","269,671","269,238","292,693","309,749","326,954","290,799","329,488","337,627","353,844","377,102","408,831","411,826","421,225","424,336","406,707","428,393","417,464","445,481","456,081","450,776","475,330","473,385","494,112","509,125","507,267","538,473","532,036","559,138","573,137","581,262","600,356","609,081","622,378","627,621","649,557","688,910","706,937","726,490","781,205","794,579","832,218","867,544","886,083","881,601","950,799","975,277","1,003,224","1,064,687","1,095,379","1,131,350","1,133,699","1,145,521","1,179,922","1,162,749","1,196,789",(1000 MT)
Millet,Domestic Consumption,World,"23,079","23,137","23,894","23,823","27,330","23,694","24,889","28,328","25,335","25,908","33,122","29,166","24,961","32,264","29,101","27,809","28,211","27,748","29,891","27,251","27,535","28,602","28,258","31,074","28,780","28,443","26,790","26,840","31,766","30,545","29,270","26,110","30,668","28,600","29,498","27,769","29,660","28,170","30,526","28,705","27,370","28,262","23,659","33,808","29,001","30,786","31,088","32,898","33,963","25,650","31,282","27,163","26,392","25,703","27,543","26,668","29,037","28,161","29,975","29,940","32,611","27,706","31,389","31,045",(1000 MT)
Mixed Grain,Domestic Consumption,World,"5,932","4,459","6,311","9,437","6,227","5,888","5,771","5,930","6,061","6,105","5,903","6,551","6,513","6,337","6,274","6,090","5,308","5,534","4,807","4,818","4,701","4,960","5,347","4,558","5,248","5,276","5,621","6,675","6,636","8,271","8,246","9,259","7,545","8,566","8,178","9,538","10,544","11,592","12,209","10,874","11,233","12,593","13,920","12,660","16,147","15,864","14,471","14,808","15,456","16,349","15,996","15,160","15,594","15,869","16,725","16,416","15,724","15,587","13,521","14,868","16,013","15,640","13,949","14,165",(1000 MT)
Oats,Domestic Consumption,World,"54,640","49,490","47,450","44,740","44,281","43,958","47,297","48,472","48,473","50,194","51,366","53,403","51,414","51,474","47,815","44,770","45,993","45,907","48,483","44,195","42,507","40,346","44,478","44,312","45,406","47,368","45,062","40,819","35,923","37,865","38,415","34,280","34,068","33,896","33,022","30,690","30,108","29,341","26,495","24,744","25,419","26,868","25,859","25,877","25,042","23,750","22,850","24,335","23,935","23,228","20,502","21,610","21,628","22,511","22,227","21,806","24,143","23,869","23,037","23,147","24,684","23,337","24,964","23,270",(1000 MT)
"Rice, Milled",Domestic Consumption,World,"156,142","149,497","149,999","165,035","179,101","171,610","178,207","185,706","191,177","198,164","209,877","215,920","212,976","222,581","226,505","232,285","234,714","244,050","252,126","256,156","270,190","278,521","277,865","292,660","298,297","306,781","308,072","312,050","323,346","335,459","343,812","350,806","355,452","359,156","363,742","366,462","375,701","377,493","388,174","397,663","393,722","412,085","405,573","411,159","406,217","412,436","418,524","426,813","435,887","435,286","443,909","455,128","462,198","472,346","473,435","467,776","478,411","481,461","485,363","492,416","498,600","516,400","520,309","521,632",(1000 MT)
Rye,Domestic Consumption,World,"35,589","34,633","31,998","31,044","31,008","31,353","31,209","30,997","30,510","28,992","27,000","30,617","27,901","28,274","29,902","24,075","27,568","24,182","28,399","21,444","24,396","24,124","26,761","30,947","29,628","30,718","28,208","33,108","30,698","32,196","33,705","28,942","28,908","26,042","24,413","23,451","21,792","20,637","20,216","19,988","18,883","20,200","19,710","17,907","17,297","15,840","13,666","13,919","16,473","17,099","12,612","12,742","13,501","15,255","14,386","12,520","12,463","12,587","10,312","12,214","13,949","12,657","12,473","12,125",(1000 MT)
Sorghum,Domestic Consumption,World,"37,829","38,091","40,403","43,990","43,601","50,012","52,184","51,740","52,201","55,437","58,482","57,269","54,053","63,797","58,293","61,901","61,358","60,949","64,474","63,485","57,853","66,679","63,885","62,431","65,963","65,623","60,337","59,698","59,253","60,357","56,063","55,941","61,569","61,076","57,249","56,347","67,000","57,902","59,561","59,922","56,932","58,383","54,206","59,224","58,907","58,880","57,074","64,042","63,512","57,157","59,954","55,938","56,121","59,466","65,788","63,456","62,366","58,661","58,371","58,457","61,475","62,803","57,385","62,610",(1000 MT)
Wheat,Domestic Consumption,World,"228,550","232,231","237,725","234,282","250,976","276,081","272,970","280,645","298,359","317,390","328,874","335,674","352,619","351,582","353,328","346,796","369,481","398,984","405,214","428,576","443,448","441,671","447,737","464,999","484,210","482,825","508,810","531,449","516,536","526,654","549,658","551,450","545,692","547,467","543,525","543,624","563,994","575,783","577,432","580,897","583,912","586,787","602,181","581,491","605,692","616,353","619,099","614,378","636,775","650,872","653,373","690,834","687,339","690,962","702,266","713,949","734,224","739,526","731,235","739,581","777,950","789,059","786,797","795,786",(1000 MT)
Allgrain,Domestic Consumption,World,"815,250","816,702","837,716","852,074","895,764","931,984","956,515","987,535","1,019,985","1,068,706","1,107,952","1,149,974","1,173,621","1,229,837","1,190,476","1,211,866","1,272,791","1,319,439","1,380,062","1,415,691","1,440,063","1,457,761","1,474,498","1,500,949","1,549,041","1,552,731","1,601,450","1,639,480","1,620,117","1,676,482","1,706,967","1,714,615","1,735,250","1,739,472","1,762,115","1,740,477","1,806,512","1,819,451","1,835,496","1,855,447","1,860,471","1,903,906","1,909,319","1,937,748","1,990,948","2,021,196","2,046,652","2,106,384","2,163,292","2,203,816","2,239,041","2,300,208","2,295,012","2,394,329","2,440,966","2,471,222","2,569,503","2,601,991","2,623,304","2,661,578","2,733,140","2,773,108","2,761,378","2,803,652",(1000 MT)
