Commodity,Attribute,Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
Barley,Domestic Consumption,World,262880920000000.0,253621440000000.0,282727880000000.0,288076400000000.0,300579520000000.0,322647560000000.0,334908320000000.0,341548320000000.0,369260360000000.0,387925400000000.0,411978800000000.0,427220920000000.0,443004200000000.0,486625680000000.0,492883880000000.0,460324640000000.0,539602920000000.0,525360120000000.0,562959120000000.0,534304200000000.0,523255240000000.0,503421560000000.0,517358920000000.0,542026520000000.0,541545120000000.0,558533560000000.0,574589080000000.0,573563200000000.0,548407560000000.0,563752600000000.0,579051160000000.0,543533800000000.0,538580360000000.0,555774640000000.0,544529800000000.0,499859200000000.0,493269000000000.0,482714720000000.0,463541720000000.0,439229360000000.0,444611080000000.0,452682000000000.0,453478800000000.0,484935800000000.0,477200200000000.0,465962000000000.0,476054800000000.0,444833520000000.0,473803840000000.0,484577240000000.0,444445080000000.0,450026000000000.0,433718160000000.0,469507760000000.0,475819080000000.0,482751240000000.0,492847360000000.0,487243200000000.0,465264800000000.0,522089920000000.0,538958840000000.0,483338880000000.0,502525160000000.0,485483600000000.0,(kcal)
Corn,Domestic Consumption,World,691736480000000.0,743228320000000.0,764606120000000.0,758112680000000.0,792826240000000.0,826649800000000.0,865478720000000.0,900113960000000.0,913659760000000.0,960028760000000.0,958487280000000.0,1041987080000000.0,1102706440000000.0,1163956240000000.0,1035244440000000.0,1172977280000000.0,1201952120000000.0,1259684640000000.0,1342483120000000.0,1455438360000000.0,1466100560000000.0,1499561000000000.0,1510636160000000.0,1447876920000000.0,1525079080000000.0,1486171840000000.0,1585912360000000.0,1623648360000000.0,1604762560000000.0,1692174800000000.0,1685250600000000.0,1759038720000000.0,1812485000000000.0,1805870520000000.0,1916963880000000.0,1894048160000000.0,1990531280000000.0,2040367720000000.0,2069292720000000.0,2137267360000000.0,2168328360000000.0,2215665680000000.0,2234330760000000.0,2312422920000000.0,2452519600000000.0,2516695720000000.0,2586304400000000.0,2781089800000000.0,2828701240000000.0,2962696080000000.0,3088456640000000.0,3154455480000000.0,3138499560000000.0,3384844440000000.0,3471986120000000.0,3571477440000000.0,3790285720000000.0,3899549240000000.0,4027606000000000.0,4035968440000000.0,4078054760000000.0,4200522320000000.0,4139386440000000.0,4260568840000000.0,(kcal)
Millet,Domestic Consumption,World,78468600000000.0,78665800000000.0,81239600000000.0,80998200000000.0,92922000000000.0,80559600000000.0,84622600000000.0,96315200000000.0,86139000000000.0,88087200000000.0,112614800000000.0,99164400000000.0,84867400000000.0,109697600000000.0,98943400000000.0,94550600000000.0,95917400000000.0,94343200000000.0,101629400000000.0,92653400000000.0,93619000000000.0,97246800000000.0,96077200000000.0,105651600000000.0,97852000000000.0,96706200000000.0,91086000000000.0,91256000000000.0,108004400000000.0,103853000000000.0,99518000000000.0,88774000000000.0,104271200000000.0,97240000000000.0,100293200000000.0,94414600000000.0,100844000000000.0,95778000000000.0,103788400000000.0,97597000000000.0,93058000000000.0,96090800000000.0,80440600000000.0,114947200000000.0,98603400000000.0,104672400000000.0,105699200000000.0,111853200000000.0,115474200000000.0,87210000000000.0,106358800000000.0,92354200000000.0,89732800000000.0,87390200000000.0,93646200000000.0,90671200000000.0,98725800000000.0,95747400000000.0,101915000000000.0,101796000000000.0,110877400000000.0,94200400000000.0,106722600000000.0,105553000000000.0,(kcal)
Mixed Grain,Domestic Consumption,World,20168800000000.0,15160600000000.0,21457400000000.0,32085800000000.0,21171800000000.0,20019200000000.0,19621400000000.0,20162000000000.0,20607400000000.0,20757000000000.0,20070200000000.0,22273400000000.0,22144200000000.0,21545800000000.0,21331600000000.0,20706000000000.0,18047200000000.0,18815600000000.0,16343800000000.0,16381200000000.0,15983400000000.0,16864000000000.0,18179800000000.0,15497200000000.0,17843200000000.0,17938400000000.0,19111400000000.0,22695000000000.0,22562400000000.0,28121400000000.0,28036400000000.0,31480600000000.0,25653000000000.0,29124400000000.0,27805200000000.0,32429200000000.0,35849600000000.0,39412800000000.0,41510600000000.0,36971600000000.0,38192200000000.0,42816200000000.0,47328000000000.0,43044000000000.0,54899800000000.0,53937600000000.0,49201400000000.0,50347200000000.0,52550400000000.0,55586600000000.0,54386400000000.0,51544000000000.0,53019600000000.0,53954600000000.0,56865000000000.0,55814400000000.0,53461600000000.0,52995800000000.0,45971400000000.0,50551200000000.0,54444200000000.0,53176000000000.0,47426600000000.0,48161000000000.0,(kcal)
Oats,Domestic Consumption,World,210364000000000.0,190536500000000.0,182682500000000.0,172249000000000.0,170481850000000.0,169238300000000.0,182093450000000.0,186617200000000.0,186621050000000.0,193246900000000.0,197759100000000.0,205601550000000.0,197943900000000.0,198174900000000.0,184087750000000.0,172364500000000.0,177073050000000.0,176741950000000.0,186659550000000.0,170150750000000.0,163651950000000.0,155332100000000.0,171240300000000.0,170601200000000.0,174813100000000.0,182366800000000.0,173488700000000.0,157153150000000.0,138303550000000.0,145780250000000.0,147897750000000.0,131978000000000.0,131161800000000.0,130499600000000.0,127134700000000.0,118156500000000.0,115915800000000.0,112962850000000.0,102005750000000.0,95264400000000.0,97863150000000.0,103441800000000.0,99557150000000.0,99626450000000.0,96411700000000.0,91437500000000.0,87972500000000.0,93689750000000.0,92149750000000.0,89427800000000.0,78932700000000.0,83198500000000.0,83267800000000.0,86667350000000.0,85573950000000.0,83953100000000.0,92950550000000.0,91895650000000.0,88692450000000.0,89115950000000.0,95033400000000.0,89847450000000.0,96111400000000.0,89589500000000.0,(kcal)
"Rice, Milled",Domestic Consumption,World,562111200000000.0,538189200000000.0,539996400000000.0,594126000000000.0,644763600000000.0,617796000000000.0,641545200000000.0,668541600000000.0,688237200000000.0,713390400000000.0,755557200000000.0,777312000000000.0,766713600000000.0,801291600000000.0,815418000000000.0,836226000000000.0,844970400000000.0,878580000000000.0,907653600000000.0,922161600000000.0,972684000000000.0,1002675600000000.0,1000314000000000.0,1053576000000000.0,1073869200000000.0,1104411600000000.0,1109059200000000.0,1123380000000000.0,1164045600000000.0,1207652400000000.0,1237723200000000.0,1262901600000000.0,1279627200000000.0,1292961600000000.0,1309471200000000.0,1319263200000000.0,1352523600000000.0,1358974800000000.0,1397426400000000.0,1431586800000000.0,1417399200000000.0,1483506000000000.0,1460062800000000.0,1480172400000000.0,1462381200000000.0,1484769600000000.0,1506686400000000.0,1536526800000000.0,1569193200000000.0,1567029600000000.0,1598072400000000.0,1638460800000000.0,1663912800000000.0,1700445600000000.0,1704366000000000.0,1683993600000000.0,1722279600000000.0,1733259600000000.0,1747306800000000.0,1772697600000000.0,1794960000000000.0,1859040000000000.0,1873112400000000.0,1877875200000000.0,(kcal)
Rye,Domestic Consumption,World,113528910000000.0,110479270000000.0,102073620000000.0,99030360000000.0,98915520000000.0,100016070000000.0,99556710000000.0,98880430000000.0,97326900000000.0,92484480000000.0,86130000000000.0,97668230000000.0,89004190000000.0,90194060000000.0,95387380000000.0,76799250000000.0,87941920000000.0,77140580000000.0,90592810000000.0,68406360000000.0,77823240000000.0,76955560000000.0,85367590000000.0,98720930000000.0,94513320000000.0,97990420000000.0,89983520000000.0,105614520000000.0,97926620000000.0,102705240000000.0,107518950000000.0,92324980000000.0,92216520000000.0,83073980000000.0,77877470000000.0,74808690000000.0,69516480000000.0,65832030000000.0,64489040000000.0,63761720000000.0,60236770000000.0,64438000000000.0,62874900000000.0,57123330000000.0,55177430000000.0,50529600000000.0,43594540000000.0,44401610000000.0,52548870000000.0,54545810000000.0,40232280000000.0,40646980000000.0,43068190000000.0,48663450000000.0,45891340000000.0,39938800000000.0,39756970000000.0,40152530000000.0,32895280000000.0,38962660000000.0,44497310000000.0,40375830000000.0,39788870000000.0,38678750000000.0,(kcal)
Sorghum,Domestic Consumption,World,129753470000000.0,130652130000000.0,138582290000000.0,150885700000000.0,149551430000000.0,171541160000000.0,178991120000000.0,177468200000000.0,179049430000000.0,190148910000000.0,200593260000000.0,196432670000000.0,185401790000000.0,218823710000000.0,199944990000000.0,212320430000000.0,210457940000000.0,209055070000000.0,221145820000000.0,217753550000000.0,198435790000000.0,228708970000000.0,219125550000000.0,214138330000000.0,226253090000000.0,225086890000000.0,206955910000000.0,204764140000000.0,203237790000000.0,207024510000000.0,192296090000000.0,191877630000000.0,211181670000000.0,209490680000000.0,196364070000000.0,193270210000000.0,229810000000000.0,198603860000000.0,204294230000000.0,205532460000000.0,195276760000000.0,200253690000000.0,185926580000000.0,203138320000000.0,202051010000000.0,201958400000000.0,195763820000000.0,219664060000000.0,217846160000000.0,196048510000000.0,205642220000000.0,191867340000000.0,192495030000000.0,203968380000000.0,225652840000000.0,217654080000000.0,213915380000000.0,201207230000000.0,200212530000000.0,200507510000000.0,210859250000000.0,215414290000000.0,196830550000000.0,214752300000000.0,(kcal)
Wheat,Domestic Consumption,World,763357000000000.0,775651540000000.0,794001500000000.0,782501880000000.0,838259840000000.0,922110540000000.0,911719800000000.0,937354300000000.0,996519060000000.0,1060082600000000.0,1098439160000000.0,1121151160000000.0,1177747460000000.0,1174283880000000.0,1180115520000000.0,1158298640000000.0,1234066540000000.0,1332606560000000.0,1353414760000000.0,1431443840000000.0,1481116320000000.0,1475181140000000.0,1495441580000000.0,1553096660000000.0,1617261400000000.0,1612635500000000.0,1699425400000000.0,1775039660000000.0,1725230240000000.0,1759024360000000.0,1835857720000000.0,1841843000000000.0,1822611280000000.0,1828539780000000.0,1815373500000000.0,1815704160000000.0,1883739960000000.0,1923115220000000.0,1928622880000000.0,1940195980000000.0,1950266080000000.0,1959868580000000.0,2011284540000000.0,1942179940000000.0,2023011280000000.0,2058619020000000.0,2067790660000000.0,2052022520000000.0,2126828500000000.0,2173912480000000.0,2182265820000000.0,2307385560000000.0,2295712260000000.0,2307813080000000.0,2345568440000000.0,2384589660000000.0,2452308160000000.0,2470016840000000.0,2442324900000000.0,2470200540000000.0,2598353000000000.0,2635457060000000.0,2627901980000000.0,2657925240000000.0,(kcal)
Allgrain,Ending Stocks,World,2832369380000000.0,2836184800000000.0,2907367310000000.0,2958066020000000.0,3109471800000000.0,3230578230000000.0,3318537320000000.0,3427001210000000.0,3537420160000000.0,3706151650000000.0,3841629800000000.0,3988811410000000.0,4069533180000000.0,4264593470000000.0,4123356960000000.0,4204567340000000.0,4410029490000000.0,4572327720000000.0,4782881980000000.0,4908693260000000.0,4992669500000000.0,5055946730000000.0,5113741100000000.0,5201185360000000.0,5369029510000000.0,5381841210000000.0,5549611570000000.0,5677114030000000.0,5612480720000000.0,5810088560000000.0,5913149870000000.0,5943752330000000.0,6017788030000000.0,6032575200000000.0,6115813020000000.0,6041953920000000.0,6271999720000000.0,6317762000000000.0,6374971740000000.0,6447406680000000.0,6465231600000000.0,6618762750000000.0,6635284130000000.0,6737590360000000.0,6922255620000000.0,7028581840000000.0,7119067720000000.0,7334428460000000.0,7529096160000000.0,7671034120000000.0,7798792340000000.0,8009938860000000.0,7993426200000000.0,8343254860000000.0,8505368970000000.0,8610843520000000.0,8956531140000000.0,9072067490000000.0,9152189160000000.0,9281889820000000.0,9526038160000000.0,9671372230000000.0,9629806000000000.0,9778587430000000.0,(kcal)
